"","title","topic","time","path"
"1","屏東魚塭燃燒不明物品　警消灌水戒備中(1329)","社會","09:58","/realtimenews/article/local/20160715/908487/屏東魚塭燃燒不明物品　警消灌水戒備中"
"2","【央廣RTI】尼斯遭攻擊 川普延後宣布副...(528)","國際","09:55","/realtimenews/article/international/20160715/908475/【央廣RTI】尼斯遭攻擊川普延後宣布副手"
"3","中國女遇尼斯恐攻　「有人浴血狂跑如災難片...(6034)","國際","09:53","/realtimenews/article/international/20160715/908478/中國女遇尼斯恐攻　「有人浴血狂跑如災難片」"
"4","【粉紅泡泡】前蜘蛛女3勾好萊塢男神　再續...(3567)","娛樂","09:52","/realtimenews/article/entertainment/20160715/908265/【粉紅泡泡】前蜘蛛女3勾好萊塢男神　再續《爵士情緣》"
"5","【更新】宏達電歐洲高層換將　同拼手機和V...(1821)","財經","09:52","/realtimenews/article/finance/20160715/908440/【更新】宏達電歐洲高層換將　同拼手機和VR事業"
"6","醫界怒了！若再發生醫療暴力就這麼幹(11786)","生活","09:51","/realtimenews/article/life/20160715/908485/醫界怒了！若再發生醫療暴力就這麼幹"
"7","【俗擱大碗】CBS評比　林書豪最物美價廉...(9110)","體育","09:44","/realtimenews/article/sports/20160715/908481/【俗擱大碗】CBS評比　林書豪最物美價廉自由球員約"
"8","【11個月首見】台幣升破32元～升值1....(2747)","財經","09:42","/realtimenews/article/finance/20160715/908477/【11個月首見】台幣升破32元～升值1.48角"
"9","LPGA馬拉松菁英賽首日　徐薇淩繳出70...(897)","體育","09:41","/realtimenews/article/sports/20160715/908479/LPGA馬拉松菁英賽首日　徐薇淩繳出70桿"
"10","尼斯遭恐怖襲擊　黃海寧：2天前才去吃生蠔(3498)","國際","09:40","/realtimenews/article/international/20160715/908448/尼斯遭恐怖襲擊　黃海寧：2天前才去吃生蠔"
"11","【66%毛利率嚇死人】大立光逼近漲停破3...(2684)","財經","09:38","/realtimenews/article/finance/20160715/908465/【66毛利率嚇死人】大立光逼近漲停破3400元"
"12","法國慶釀上百人死傷　歐巴馬：駭人的恐攻(3071)","國際","09:36","/realtimenews/article/international/20160715/908446/法國慶釀上百人死傷　歐巴馬：駭人的恐攻"
"13","【央廣RTI】法國尼斯遭攻擊 英願提供協...(688)","國際","09:35","/realtimenews/article/international/20160715/908473/【央廣RTI】法國尼斯遭攻擊英願提供協助"
"14","蘋概股領軍　台股站上8千9創近1年新高(988)","財經","09:32","/realtimenews/article/finance/20160715/908474/蘋概股領軍　台股站上8千9創近1年新高"
