"","title","topic","time","path"
"1","【壹週刊】動保處突檢寵物展　主辦單位：貽...(1602)","壹週刊","09:33","/realtimenews/article/nextmag/20160714/907684/【壹週刊】動保處突檢寵物展　主辦單位：貽笑大方"
"2","【台灣英文新聞】〈時評〉中研院的紛亂剛落...(682)","論壇","09:33","/realtimenews/article/forum/20160714/907685/【台灣英文新聞】〈時評〉中研院的紛亂剛落幕　學術界應合力為台灣的全球競爭力打拼！"
"3","因應勞方擬集體休假　華信今開董事會選出新...(1531)","生活","09:30","/realtimenews/article/life/20160714/907674/因應勞方擬集體休假　華信今開董事會選出新董座"
"4","立委建議賣太平水　內政部：評估若足夠也樂...(1657)","政治","09:26","/realtimenews/article/politics/20160714/907675/立委建議賣太平水　內政部：評估若足夠也樂見"
"5","PC三雄今除息　精英勝宏碁(1220)","財經","09:19","/realtimenews/article/finance/20160714/907677/PC三雄今除息　精英勝宏碁"
"6","為何大家都迷Pokemon GO　原來是...(28325)","生活","09:16","/realtimenews/article/life/20160714/907666/為何大家都迷PokemonGO　原來是這原因"
"7","富比士50豪門球隊 NFL牛仔第1　ML...(5322)","體育","09:16","/realtimenews/article/sports/20160714/907676/富比士50豪門球隊NFL牛仔第1　MLB洋基最好野"
"8","中國有溫帶氣旋　鄭明典：中國恐持續淹水(3328)","生活","09:15","/realtimenews/article/life/20160714/907671/中國有溫帶氣旋　鄭明典：中國恐持續淹水"
"9","參加掛牌典禮超嗨～證交所董座：希望天天來(838)","財經","09:15","/realtimenews/article/finance/20160714/907672/參加掛牌典禮超嗨～證交所董座：希望天天來"
"10","退休感謝信　鄧肯：最美麗的風景是人(3611)","體育","09:13","/realtimenews/article/sports/20160714/907670/退休感謝信　鄧肯：最美麗的風景是人"
"11","【壹週刊】單車男死因成謎　家屬批警「漫不...(2561)","壹週刊","09:13","/realtimenews/article/nextmag/20160714/907673/【壹週刊】單車男死因成謎　家屬批警「漫不經心」"
"12","【新新聞】檢方喬人事？司法院為頂新案背黑...(2498)","政治","09:12","/realtimenews/article/politics/20160714/907668/【新新聞】檢方喬人事？司法院為頂新案背黑鍋"
"13","穿風衣如何繫圍巾？BURBERRY親自教...(3573)","時尚","09:10","/realtimenews/article/fashion/20160714/907418/穿風衣如何繫圍巾？BURBERRY親自教學"
"14","未來一周好熱　明後天有焚風、大台北飆37...(2943)","生活","09:00","/realtimenews/article/life/20160714/897977/未來一周好熱　明後天有焚風、大台北飆37℃"
"15","戀愛與婚姻真的不同　地方媽媽愛上了大伯(12394)","生活","08:59","/realtimenews/article/life/20160714/907660/戀愛與婚姻真的不同　地方媽媽愛上了大伯"
"16","醉翁之意不在魚　都在那未穿胸罩的奶(17829)","國際","08:58","/realtimenews/article/international/20160714/907662/醉翁之意不在魚　都在那未穿胸罩的奶"
"17","IS證實　 戰爭部長西沙尼身亡(13946)","國際","08:56","/realtimenews/article/international/20160714/907604/IS證實　戰爭部長西沙尼身亡"
"18","想創業？年輕姐妹花開店當老闆　靠這殺血路(4876)","國際","08:55","/realtimenews/article/international/20160714/907661/想創業？年輕姐妹花開店當老闆　靠這殺血路"
"19","【財訊】專訪》台塑王瑞瑜細數越鋼無奈遭罰...(4237)","政治","08:55","/realtimenews/article/politics/20160714/907664/【財訊】專訪》台塑王瑞瑜細數越鋼無奈遭罰　天價賠償硬吞下肚"
"20","大熊闖進休旅車　還將自己反鎖(6300)","動物","08:44","/realtimenews/article/animal/20160714/907635/大熊闖進休旅車　還將自己反鎖"
"21","有暗器快來人！　「高鐵婦女身中數十針」(18712)","生活","08:44","/realtimenews/article/life/20160714/907656/有暗器快來人！　「高鐵婦女身中數十針」"
"22","加油且慢！下周汽、柴油估各降0.4元(2113)","生活","08:41","/realtimenews/article/life/20160714/907659/加油且慢！下周汽、柴油估各降0.4元"
"23","「桃機淹水淹怕了？」　熱褲妹坐姿嚇死寶寶(27066)","生活","08:29","/realtimenews/article/life/20160714/907655/「桃機淹水淹怕了？」　熱褲妹坐姿嚇死寶寶"
