"","country","casualty","incidence","Abortion Related","Airports & Aircraft","Business","Educational Institution","Food or Water Supply","Government (Diplomatic)","Government (General)","Journalists & Media","Maritime","Military","NGO","Other","Police","Private Citizens & Property","Religious Figures/Institutions","Telecommunication","Terrorists/Non-State Militia","Tourists","Transportation","Unknown","Utilities","Violent Political Party"
"1","Afghanistan",58413,9587,0,136,2440,2409,37,888,7302,60,2,10667,372,24,17679,12587,1103,113,654,1,1021,841,31,46
"2","Albania",174,69,0,0,55,0,0,0,30,6,0,1,0,0,25,37,0,0,0,0,15,5,0,5
"3","Algeria",19014,2242,0,0,1224,391,0,15,758,134,3,2365,0,14,2190,9221,431,0,78,47,1262,714,166,1
"4","Angola",2750,146,0,27,106,0,0,49,3,1,0,248,107,0,39,1528,2,0,0,0,628,7,4,1
"5","Argentina",22,65,0,0,1,0,0,0,6,2,0,1,0,0,3,8,1,0,0,0,0,0,0,0
"6","Armenia",38,15,0,0,2,0,0,0,10,0,0,0,0,0,1,25,0,0,0,0,0,0,0,25
"7","Australia",42,46,0,0,29,0,0,0,2,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0
"8","Austria",25,32,0,0,4,0,0,1,1,0,0,0,0,0,0,7,9,0,0,1,0,0,2,2
"9","Azerbaijan",37,19,0,0,0,0,0,0,6,0,0,4,0,0,7,1,14,0,0,0,0,0,5,5
"10","Bahamas",1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Bahrain",197,178,0,0,29,1,0,1,1,0,0,0,0,0,137,21,0,0,0,0,2,5,0,5
"12","Bangladesh",6002,1209,0,0,654,115,0,6,770,32,4,18,4,11,716,2139,319,0,24,0,389,255,0,546
"13","Belarus",226,12,0,0,0,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,174,0,0,0
"14","Belgium",33,24,0,0,4,0,0,20,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5
"15","Belize",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Benin",4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"17","Bhutan",16,6,0,0,4,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1
"18","Bolivia",20,16,0,0,2,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,5,0,0,5
"19","Bosnia-Herzegovina",146,128,0,0,2,0,0,6,7,1,0,8,0,0,52,37,27,0,0,0,3,3,0,0
"20","Botswana",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"21","Brazil",150,105,0,1,20,0,0,0,43,10,0,0,5,0,3,54,1,0,0,1,12,0,0,12
"22","Bulgaria",59,36,0,1,10,0,0,2,2,1,0,0,0,0,3,3,0,0,0,37,0,0,0,0
"23","Burkina Faso",17,6,0,0,2,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,13
"24","Burundi",5596,479,0,2,329,106,0,31,71,7,4,697,32,994,139,2758,69,0,0,48,251,39,8,11
"25","Cambodia",750,141,0,0,78,0,0,1,263,13,0,7,0,0,3,165,0,13,1,9,50,0,0,147
"26","Cameroon",2315,164,0,0,143,0,5,2,30,0,2,960,0,27,58,905,151,0,0,0,29,3,0,3
"27","Canada",61,48,3,0,9,27,0,0,0,3,0,8,1,0,5,5,0,0,0,0,0,0,0,0
"28","Central African Republic",1765,194,0,0,4,0,0,220,26,4,0,192,34,50,8,874,213,0,93,0,43,0,0,4
"29","Chad",2425,69,0,0,0,0,0,3,1169,0,0,368,2,51,159,672,0,0,1,0,0,0,0,1
"30","Chile",57,99,0,0,20,0,3,0,2,0,0,1,0,0,28,2,1,0,0,0,0,0,0,0
"31","China",2749,219,0,14,513,159,0,1,121,1,0,16,0,0,317,858,1,0,0,1,743,4,0,0
"32","Colombia",12330,3214,0,38,1767,62,3,6,1366,131,16,1530,38,0,2267,4002,242,37,50,34,227,285,229,229
"33","Comoros",2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"34","Costa Rica",9,3,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35","Croatia",24,23,0,0,1,0,0,4,0,0,0,1,0,0,3,14,0,0,0,0,1,0,0,1
"36","Cuba",5,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Cyprus",7,38,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"38","Czech Republic",34,26,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,1
"39","Democratic Republic of the Congo",4101,459,0,46,128,6,0,112,62,15,0,720,23,83,46,2333,460,0,0,0,67,0,0,67
"40","Denmark",10,14,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0
"41","Djibouti",60,6,0,0,4,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,7,0,0,7
"42","Dominica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Dominican Republic",82,17,0,0,0,0,0,0,0,0,0,0,0,0,28,17,0,0,0,0,37,0,0,37
"44","East Timor",17,10,0,0,0,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,6,0,0,6
"45","Ecuador",25,45,0,0,8,0,0,1,5,2,0,0,0,0,0,4,4,0,0,0,1,0,0,0
"46","Egypt",5060,1503,0,231,355,7,1,18,141,10,2,1296,1,20,1667,567,67,7,10,442,140,64,13,1
"47","El Salvador",114,18,0,0,1,0,0,0,16,1,0,0,0,0,0,95,0,0,1,0,0,0,0,0
"48","Equatorial Guinea",4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"49","Eritrea",110,10,0,0,10,0,0,0,0,0,0,75,0,0,0,25,0,0,0,0,0,0,0,0
"50","Estonia",13,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,0,0,11
"51","Ethiopia",1080,80,0,124,319,21,0,31,14,0,0,189,6,0,18,172,17,0,0,16,79,0,74,74
"52","Fiji",24,8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"53","Finland",14,12,0,0,0,10,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
"54","France",797,898,0,1,313,31,0,11,65,26,0,24,0,3,18,49,6,0,10,1,219,17,0,3
"55","French Guiana",13,4,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
"56","French Polynesia",13,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Gabon",5,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"58","Gambia",2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"59","Georgia",417,152,0,10,18,0,0,10,84,1,0,39,0,0,111,86,0,0,29,0,29,0,0,0
"60","Germany",254,348,0,0,27,0,0,51,1,0,0,4,0,53,5,95,1,0,0,15,0,2,0,2
"61","Ghana",18,5,0,0,0,0,0,0,0,3,0,0,0,0,0,13,2,0,0,0,0,0,0,2
"62","Greece",96,585,0,0,26,1,0,4,28,1,0,0,2,0,24,7,0,0,0,0,0,0,0,3
"63","Guatemala",148,154,0,0,7,0,0,4,28,11,0,18,0,0,3,67,0,0,0,6,0,3,0,1
"64","Guinea",251,18,0,0,0,0,0,1,0,0,0,76,0,0,0,174,0,0,0,0,0,0,0,0
"65","Guinea-Bissau",47,9,0,0,0,0,0,2,15,0,0,6,0,0,0,24,0,0,0,0,0,0,0,24
"66","Guyana",53,11,0,0,0,0,0,0,10,8,0,0,0,0,21,14,0,0,0,0,0,0,0,14
"67","Haiti",178,110,0,0,10,0,0,5,33,5,0,8,0,0,22,77,2,0,0,0,15,0,1,1
"68","Honduras",135,67,0,0,1,0,0,0,46,3,0,1,0,0,13,27,0,0,0,1,43,0,0,0
"69","Hong Kong",69,9,0,0,1,0,0,2,16,3,0,0,0,0,0,47,0,0,0,0,0,0,0,0
"70","Hungary",17,38,0,0,7,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1
"71","Iceland",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","India",32465,7656,0,28,1902,287,3,4,2491,59,1,3807,19,30,6288,10118,1006,66,328,172,4750,651,39,416
"73","Indonesia",3332,681,0,5,962,8,0,251,255,7,10,235,14,0,331,720,349,0,0,129,49,5,2,0
"74","International",13,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13
"75","Iran",1698,160,0,1,29,17,0,1,189,0,0,453,0,0,202,482,319,0,0,2,3,0,0,0
"76","Iraq",174030,18678,0,44,16474,1405,147,670,11934,453,14,20393,127,867,25074,76302,9514,18,4061,150,3996,931,483,973
"77","Ireland",22,149,0,0,4,0,0,0,3,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0
"78","Israel",6519,1156,0,0,1206,232,0,0,24,0,32,447,0,0,57,2872,29,0,0,21,1568,27,4,4
"79","Italy",105,132,0,0,4,0,0,2,6,4,0,1,0,0,14,70,3,0,0,1,0,0,0,0
"80","Ivory Coast",383,55,0,0,30,0,0,12,38,1,0,83,0,0,9,178,10,0,0,0,10,0,9,3
"81","Jamaica",47,12,0,0,7,0,0,1,11,0,0,2,0,0,21,5,0,0,0,0,0,0,0,5
"82","Japan",6243,75,0,1,7,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,6228,0,0,0
"83","Jordan",232,34,0,0,161,0,0,7,3,0,0,11,0,0,31,10,0,0,0,8,0,0,0,1
"84","Kazakhstan",29,18,0,0,0,4,0,0,9,3,0,0,0,0,11,1,0,0,0,0,1,0,0,1
"85","Kenya",7377,465,0,0,622,349,1,4231,85,1,2,156,16,58,370,756,300,4,2,2,401,18,3,3
"86","Kosovo",460,180,0,0,77,7,0,8,29,7,0,18,0,0,11,283,10,0,0,0,10,0,0,0
"87","Kuwait",286,12,0,0,4,0,0,0,2,2,0,21,0,0,0,2,255,0,0,0,0,0,0,0
"88","Kyrgyzstan",31,28,0,0,5,0,0,5,1,1,0,5,0,0,4,7,0,2,0,1,0,0,0,0
"89","Laos",75,15,0,5,0,0,0,0,5,0,0,0,0,0,9,26,0,0,0,21,9,0,0,0
"90","Latvia",37,12,0,0,1,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"91","Lebanon",4022,732,0,0,105,9,0,244,326,11,0,656,9,36,222,1104,391,0,678,7,94,17,3,110
"92","Lesotho",4,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
"93","Liberia",44,15,0,0,0,0,0,1,12,0,0,0,8,3,0,20,0,0,0,0,0,0,0,0
"94","Libya",4398,1634,0,55,260,25,0,36,301,39,13,1022,12,11,274,1035,65,0,1215,0,0,8,26,1
"95","Lithuania",2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"96","Macau",49,33,0,0,28,0,0,0,3,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0
"97","Macedonia",115,116,0,0,5,0,0,0,21,0,0,19,0,0,41,28,0,0,0,1,0,0,0,0
"98","Madagascar",44,18,0,0,4,0,0,0,2,0,0,3,0,0,0,33,0,2,0,0,0,0,0,0
"99","Malawi",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100","Malaysia",20,39,0,0,6,0,0,0,2,0,2,2,0,0,3,3,2,0,0,0,0,0,0,0
"101","Maldives",20,17,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,12,0,0,0,12
"102","Mali",1413,290,0,0,44,0,0,308,193,4,1,493,16,1,11,254,1,0,33,3,47,4,0,4
"103","Malta",2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"104","Mauritania",69,14,0,0,0,1,0,5,0,0,0,60,1,0,1,0,0,0,0,0,0,1,0,1
"105","Mexico",1126,297,0,0,203,2,0,1,88,36,0,70,1,0,170,458,3,0,0,2,75,13,0,4
"106","Moldova",51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,12,0,0,12
"107","Montenegro",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"108","Morocco",238,16,0,0,126,15,0,1,0,0,0,0,0,0,26,68,0,0,0,2,0,0,0,2
"109","Mozambique",255,56,0,0,4,1,0,0,1,4,0,95,1,0,33,76,0,0,0,0,23,0,2,15
"110","Myanmar",1170,219,0,0,76,0,0,0,51,0,3,217,7,0,97,576,10,4,41,1,63,0,24,24
"111","Namibia",158,28,0,0,14,1,0,0,0,38,0,0,0,0,0,96,0,0,0,7,0,0,2,2
